,历史持仓,股票代码,市场,持仓价格,持仓股数,平仓日期,状态,持仓总股数,开仓日期,平仓价格,持股天数,盈利次数,亏损次数,盈利,亏损,收益率%
0,600000,600000,0,9.54,0,20200311,已平仓,6000,20200224,9.21,16,0,3,0.0,-330.0,-3.46
1,600000,600000,0,9.97,0,20200710,已平仓,6000,20200702,9.92,8,2,1,390.0,-50.0,-0.5
2,600000,600000,0,9.58,0,20200901,已平仓,2000,20200716,9.28,47,0,1,0.0,-300.0,-3.13
3,600000,600000,0,8.7,0,20201030,已平仓,2000,20201019,8.35,11,0,1,0.0,-350.0,-4.02
4,600000,600000,0,8.5,0,20201123,已平仓,2000,20201109,8.93,14,1,0,430.0,0.0,5.06
5,600000,600000,0,9.13,0,20201211,已平仓,4000,20201127,8.75,14,0,2,0.0,-380.0,-4.16
6,600000,600000,0,9.77,0,20210302,已平仓,2000,20210218,9.44,12,0,1,0.0,-330.0,-3.38
7,600000,600000,0,8.12,0,20220308,已平仓,4000,20211102,7.65,126,0,2,0.0,-470.0,-5.79
8,600000,600000,0,7.54,0,20220729,已平仓,6000,20220428,7.26,92,0,3,0.0,-280.0,-3.71
